created_at,favorite_count,hashtags,latitute,longitute,retweet_count,text
Wed Jan 30 19:35:24 +0000 2019,0,[],39.73261,-121.82217,0,"jpmorgan chase and neighborworks is holding a free one-day course today for housing counselors, volunteers and othe… https://t.co/RohlrUHQOm"
Tue Jan 29 18:20:56 +0000 2019,15,"['buttecollege', 'campfire', 'buttestrong']",39.64977378,-121.64486328,1,Laptops arrived! These are going to #buttecollege students who lost theirs in the #campfire #buttestrong… https://t.co/lRRvUgnCPp
Tue Jan 29 13:23:08 +0000 2019,0,[],39.7617,-121.609,0,"Hope in Paradise. 
This is Josh, he is standing in what used to be home to his wife and three kids. They lost every… https://t.co/nTWN4X7aA6"
Mon Jan 28 02:26:26 +0000 2019,0,[],39.52954642,-121.4739987,0,"Sunday evening by the fire. @ Oroville East, California https://t.co/A1Jl3jhiDo"
Sun Jan 27 07:20:29 +0000 2019,1,[],39.756978,-121.84558918,0,"We’re headed to Chico, California tomorrow to personally distribute these incredible donations to the Paradise fire… https://t.co/ZwcO1O1wv9"
Sun Jan 27 02:32:24 +0000 2019,1,"['GiveItUp', 'MichaelCapponi', 'GlobalEmpowermentMission', 'CampFire']",39.7617,-121.609,1,"#GiveItUp for #MichaelCapponi's #GlobalEmpowermentMission🌏 Crew,who recently provided #CampFire Survivors in… https://t.co/JK7kwsb5II"
Sat Jan 26 15:15:47 +0000 2019,3,[],39.7617,-121.609,2,"Paradise, California: January 25, 2019 
Yesterday was surreal, humbling and very eye opening. We got to walk throug… https://t.co/ntxBdPFuq1"
Thu Jan 24 00:49:22 +0000 2019,0,[],39.5129,-121.5583,0,"Mod MOVERS is 30 minutes away from what’s referred to as “Ground Zero,” for Paradise Fire 🔥 Victims!… https://t.co/Tl8lMq1vgB"
Wed Jan 23 23:37:27 +0000 2019,0,[],39.72873363,-121.83972846,0,"On today’s show we continue our updates on the companion animals affected by the Camp Fire, followed by the big new… https://t.co/p7tzSIaVSG"
Sat Jan 19 03:20:59 +0000 2019,1,['CampFire'],39.7617,-121.609,0,Such a joy to see a group of @challengecsuc students serving the #CampFire victims. Most of the world has moved on… https://t.co/AuqimY0XDr
Sat Jan 19 02:49:41 +0000 2019,0,[],39.7617,-121.609,0,"Day 5 Paradise Camp Fire Mural Project: 

I think today I was moving pretty slow. I didn’t do any social media post… https://t.co/2MGnV1ECRu"
Fri Jan 18 00:46:32 +0000 2019,0,[],39.7617,-121.609,0,"Day 4 Paradise Camp Fire Mural Project: 

As you can see there’s absolutely nothing left of Hope Christian Church l… https://t.co/IZKUla3H4x"
Thu Jan 17 02:20:15 +0000 2019,1,[],39.7617,-121.609,0,"Day 3 Paradise Camp Fire Mural Project: 

Ok, day 3 has been awesome and a struggle. The rain and the wind have kic… https://t.co/VaOUZ3smzD"
Thu Jan 17 00:27:05 +0000 2019,1,[],39.7263,-121.8358,0,Performing Binat Mazin style ghawazee at last month’s Camp Fire Benefit with my beautiful qabilafoundation Thank yo… https://t.co/baWDoQWrdP
Thu Jan 17 00:20:36 +0000 2019,0,[],39.72873363,-121.83972846,0,"On today’s show Jeannie will have an update on the companion animals affected by the Camp Fire, followed by news th… https://t.co/uT3aUiAIuB"
Wed Jan 16 15:32:43 +0000 2019,4,['CampFire'],39.7617,-121.609,3,"Meet Gus Gus! This is one tough kitty, he survived the #CampFire on 3 little legs!! His paws were a little burnt, t… https://t.co/jtCDI7Zp00"
Wed Jan 16 01:18:44 +0000 2019,1,[],39.7617,-121.609,2,"Day 2 Paradise Camp Fire Mural Project: 

Day 2 Mural was for my high school friend Nicole Weddig and her husband G… https://t.co/Srm8bA9E5x"
Mon Jan 14 21:01:03 +0000 2019,0,[],39.7617,-121.609,1,"Day 1 Paradise Camp Fire Mural Project: 

Here is my first mural. I wanted to paint this truck and we just spent ti… https://t.co/zRlUbXeE72"
Mon Jan 14 00:03:36 +0000 2019,0,"['Chico', 'CampFire']",39.724193,-121.815356,0,#Chico!! TONITE 9pm at sierranevadachico big room!! 🍻🍻Donating all my merch profits to #CampFire relief!! Feel the… https://t.co/qH10dNVUcl
Sun Jan 13 23:28:08 +0000 2019,1,[],39.7617,-121.609,0,Crosses and one Star of David line Skyway in honor of the 85 people who lost their lives in the fire that destroyed… https://t.co/OfktA0JFep
Sun Jan 13 01:05:34 +0000 2019,2,"['CHICO', 'CA']",39.7245,-121.81483,0,#CHICO #CA!! TOMORROW 1/13 we rock the sierranevadachico Big Room!!! I will be donating all my merchandise profits… https://t.co/IDcfDzAKK0
Sat Jan 12 21:39:57 +0000 2019,6,"['CHICO', 'CA']",39.7245,-121.81483,2,#CHICO #CA!! TOMORROW 1/13 we rock the sierranevadachico Big Room!!! I will be donating all my merchandise profits… https://t.co/AdcQ1rlAmF
Fri Jan 11 22:06:41 +0000 2019,3,"['Chico', 'CampFire']",39.7263,-121.8358,2,#Chico!! See U this Sunday at sierranevadachico big room!! Donating all my merch profits to #CampFire relief!! Feel… https://t.co/4oGRjWoaDp
Fri Jan 11 20:04:30 +0000 2019,0,[],39.7245,-121.81483,0,Thank U Chico @newsandreview for the awesome piece &amp; preview of our show this Sunday 1/13 at sierranevadachico big… https://t.co/eGPovEgEH8
Thu Jan 10 22:49:44 +0000 2019,7,['campfire'],39.7263,-121.8358,3,Meet Dale Miller. Dale and his wife lost their home and everything they owned in the Paradise #campfire. Through ou… https://t.co/vRGXhStCwP
Thu Jan 10 02:40:37 +0000 2019,1,"['CA', 'FireVictims', 'MichaelCapponi', 'GlobalEmpowermentMission', 'Paradise']",39.7617,-121.609,1,"#CA🌲 #FireVictims,You are Not Forgotten!❤️#MichaelCapponi's #GlobalEmpowermentMission🌎 has Teamed w/ #Paradise Fire… https://t.co/AAI5AecOnz"
Wed Jan 09 17:04:26 +0000 2019,1,['POTUS'],39.7617,-121.609,0,"I’ve seen first hand the miss management. Butttt I’m not sure how I feel about this?
🤔 without bashing #POTUS let m… https://t.co/9G777ktgNn"
Wed Jan 09 16:59:06 +0000 2019,1,[],39.7617,-121.609,0,I’ve seen first hand the miss management in both regions butttttt I don’t know about this... Thoughts? With out bas… https://t.co/m2rwysaUL6
Tue Jan 08 23:00:52 +0000 2019,1,"['CHICO', 'CA']",39.7263,-121.8358,0,#CHICO #CA!! This Sun 1/13 we rock the @sierranevada Big Room!!! I will be donating all my merchandise profits towa… https://t.co/wRA3QIYC2Y
Tue Jan 08 21:53:20 +0000 2019,2,"['CHICO', 'CA']",39.7263,-121.8358,0,#CHICO #CA!! This Sun 1/18 we rock the @sierranevada Big Room!!! I will be donating all my merchandise profits towa… https://t.co/6cr7KJBRPH
Mon Jan 07 01:39:21 +0000 2019,1,[],39.7617,-121.609,1,I’m excited to head back up to Paradise California. This time I’m going up as a team that wants to help make a diff… https://t.co/Yu3HAgv45e
Sun Jan 06 02:36:30 +0000 2019,0,"['resilienceipa', 'buttestrong', 'campfire']",39.52954642,-121.4739987,1,Thank you @sierranevada sierranevadabrewing Saturday night having a #resilienceipa #buttestrong #campfire. @ Orovil… https://t.co/wRAD9ljfJr
Thu Jan 03 14:55:57 +0000 2019,0,"['getoutside', 'photooftheday', 'ca', 'love', 'paradiseca', 'campfire', 'buttestrong', 'norcal']",39.7617,-121.609,0,"Radar Love ❤️ 
@designfly 

.
.
.
.
#getoutside #photooftheday #ca #love #paradiseca #campfire #buttestrong #norcal… https://t.co/lakfzkDuTo"
Tue Jan 01 00:18:11 +0000 2019,0,[],39.73136538,-121.68441573,0,I haven’t been to Lookout Point that overlooks Little Grand Canyon since before the Camp Fire. Still a gorgeous vie… https://t.co/dHgWl349L8
Mon Dec 31 12:51:58 +0000 2018,1,[],39.7617,-121.609,0,So many have asked ? Why are there so many trees still standing in all these pics &amp; videos. Here's the best article… https://t.co/pHqBLTyEF0
Mon Dec 31 12:35:34 +0000 2018,1,"['HappyNewYear', 'ParadiseCalifornia']",39.7617,-121.609,0,"#HappyNewYear
From #ParadiseCalifornia
🎆🎇🎆🎇🎆🎇🎆🎇🎆
Firefighters contained the Camp Fire on Nov. 25, the California De… https://t.co/MfiimD7JPM"
Sun Dec 30 22:02:52 +0000 2018,0,"['campfire', 'paradise']",39.7617,-121.609,0,"Drove through Paradise, CA and saw the devastation first hand with backtotheboz. #campfire #paradise… https://t.co/cWpVKeEFLB"
Fri Dec 28 19:46:05 +0000 2018,1,[],39.7263,-121.8358,0,"Day 50 post Camp Fire, Gurjian Family Update: We are still living in our camper in the parking lot we now call “Hop… https://t.co/azu2aDg1Uf"
Fri Dec 28 16:09:41 +0000 2018,0,['CampFire'],39.7617,-121.609,0,"#CampFire 360 Drone / See the deadliest fire in CA history in VR on youtube @ Paradise, California https://t.co/dSlhmRAtJO"
Thu Dec 27 16:24:26 +0000 2018,1,['paradisecalifornia'],39.7617,-121.609,0,Check out my story click on the profile pic https://t.co/NSQVn055Az for the full story. #paradisecalifornia… https://t.co/yCZB02g0bg
Thu Dec 27 02:52:31 +0000 2018,3,['campfire'],39.75979638,-121.84478805,2,Meet Lisa Wagoner and her family. She had reached out to us last week for help so we invited her to our #campfire C… https://t.co/E4kO6oZBmJ
Tue Dec 25 20:20:38 +0000 2018,3,['campfire'],39.7263,-121.8358,2,A single picture is worth a thousand words. Look at this  little angel at our #campfire Christmas Event. Look at he… https://t.co/wBagp3aKuh
Tue Dec 25 15:06:20 +0000 2018,1,['ClimateUprising'],39.7617,-121.609,0,"Christmas in Paradise, CA. Up here working on a #ClimateUprising climateuprising film + movement in response to the… https://t.co/pjy2DkSpQB"
Mon Dec 24 23:07:43 +0000 2018,8,['bstrong'],39.7263,-121.8358,2,Merry Christmas and Happy Holidays to all of you. Our @michaelcapponi #bstrong teams are in Chico California prepar… https://t.co/9IKXAQHQ9S
Mon Dec 24 21:44:21 +0000 2018,0,['longhair'],39.7267987,-121.83741373,0,"Britney hasn’t cut her hair in a long time. I took off a little length, layered and thinned her hair. #longhair… https://t.co/DEDqe51KU1"
Mon Dec 24 21:39:40 +0000 2018,0,[],39.7267987,-121.83741373,0,This past weekend I was back at Satori cutting hair in my old chair. I gave 9 haircuts to survivors of the camp fir… https://t.co/iqvNLFVfs2
Mon Dec 24 15:47:07 +0000 2018,1,['campfirecuts'],39.76014,-121.82396,0,"#campfirecuts Saturday Dec 22nd nscoubes  and I arranged Holiday Haircuts for The Campfire Evacuees in Chico, Ca wh… https://t.co/c19KavK22u"
Sun Dec 23 23:28:56 +0000 2018,4,"['campfireparadise', 'campfire', 'buttestrong', 'sheriff']",39.76052145,-121.80686176,2,I am meeting so many wonderful children in Chico today. #campfireparadise #campfire #buttestrong #sheriff… https://t.co/HPaoow6dPM
Sun Dec 23 22:42:21 +0000 2018,2,[],39.76052145,-121.80686176,0,My buddy Reuben and I are in Chico for a Blue Christmas. This for the families of first responders that lost their… https://t.co/tw2zJ7qhd0
Sun Dec 23 17:46:46 +0000 2018,1,['campfire'],39.7263,-121.8358,0,The Loves lost a lot of belongings in the Paradise #campfire (including their bikes) but they didn't lose each othe… https://t.co/6hCQ3IUVHB
Sun Dec 23 05:11:06 +0000 2018,4,[],39.759606,-121.621918,0,"An Ice Rink in Paradise Reopens Just in Time for Christmas, Bringing Smiles to Camp Fire Survivors https://t.co/8CuhWyrb9F"
Sat Dec 22 20:15:14 +0000 2018,0,"['campfires', 'paradiseca', 'wildfire', 'drought']",39.7617,-121.609,0,"All that’s left is chimneys... Complete devastation in Paradise, CA. #campfires #paradiseca #wildfire #drought… https://t.co/rwKBjQOTXa"
Sat Dec 22 07:31:36 +0000 2018,1,[],39.79999,-121.514162,0,"Couple Loses Home and Thriving Tea Garden Business to Camp Fire, Vows to Rebuild https://t.co/QC5PhSmCjU"
Thu Dec 20 20:59:39 +0000 2018,0,['Repost'],39.7263,-121.8358,0,"Devastating. I need to get my trailers in team up there ASAP. Please help

#Repost @viralwebstudio (get_repost)
・・・… https://t.co/htxIEb02xC"
Thu Dec 20 20:58:46 +0000 2018,0,['campfire'],39.7617,-121.609,0,Good Karma ThursdAys 🐶♻️🐱 Current issues with sheltered pets after #campfire🔥: Help get these displaced and abandon… https://t.co/bMBMGYUjtZ
Thu Dec 20 00:09:50 +0000 2018,1,[],39.7263,-121.8358,0,Had an wonderful time performing at last weekend’s Camp Fire Benefit. Thank you Chuck Clutchshifter for this photo!… https://t.co/a14fy0UJe9
Tue Dec 18 02:12:57 +0000 2018,0,[],39.76448,-121.81448,0,My heart is full as we got to bless many ladies who lost everything in the Camp Fire with Mary Kay skin care and co… https://t.co/4zgTcyi2cI
Mon Dec 17 16:32:48 +0000 2018,0,"['campfire', 'survivor']",39.5129,-121.5583,0,"Good morning Noel kisses. #campfire #survivor edgyboy_kaiden @ Oroville, California https://t.co/W0uaQ883qB"
Mon Dec 17 15:59:22 +0000 2018,0,[],39.7617,-121.609,0,"A post from Facebook. CAMP FIRE Paradise Ca Area LOST FOUND ANIMALS 

Rest in Peace my beautiful babies &lt;3

I remem… https://t.co/0qwa7GCKsH"
Mon Dec 17 06:45:20 +0000 2018,2,[],39.7617,-121.609,0,Last week jeffrey_schneider11 and I went up to Chico and Paradise to start working on a climateuprising film and… https://t.co/ykRYCLJ3CJ
Sun Dec 16 23:07:54 +0000 2018,1,['CampFire'],39.7617,-121.609,0,Home!!!!  1st trip back from #CampFire Good I fucking miss you!!!  We'll be back. Stronger. Bigger. Better. @ Parad… https://t.co/kArN2XGyFK
Sun Dec 16 21:33:16 +0000 2018,0,[],39.759606,-121.621918,1,Crane Company Fires 3 Employees after They Post Inappropriate Pictures in Camp Fire Wreckage https://t.co/ao8WXg3Nz9
Sun Dec 16 03:27:06 +0000 2018,18,[],39.7617,-121.609,1,Our last stop was to Paradise and we saw firsthand the devastation. We arrived at Firehouse 35 to make dinner for t… https://t.co/WDQae6cP8G
Sat Dec 15 21:26:53 +0000 2018,0,[],39.759606,-121.621918,0,All Evacuation Orders Lifted in Deadly Camp Fire https://t.co/IH2gv7Utm6
Sat Dec 15 20:10:48 +0000 2018,0,[],39.77321,-121.87626,0,Doors have opened &amp; show is about to start. Come support our Camp Fire community and enjoy an afternoon of Bellydan… https://t.co/CmxtVimjPM
Sat Dec 15 18:08:03 +0000 2018,2,"['calfire', 'campfire']",39.7617,-121.609,0,"If you ever see these trucks wave,the guys,gals would appreciate it..inmate firefighters #calfire #campfire @ Parad… https://t.co/ixzAXAQLp7"
Sat Dec 15 17:53:05 +0000 2018,1,"['calfire', 'campfire']",39.7617,-121.609,1,"If you ever see these trucks wave,the guys,gals would appreciate it..inmate firefighters #calfire #campfire @ Parad… https://t.co/9RQQZLwNik"
Sat Dec 15 17:52:07 +0000 2018,1,"['campfire', 'calfire']",39.7617,-121.609,0,"Inmate firefighters at #campfire #calfire so proud of these guys @ Paradise, California https://t.co/YSqZI8Q18F"
Fri Dec 14 08:45:27 +0000 2018,0,[],39.76448,-121.81448,0,Loved blessing some folks affected by the Camp Fire with Mary Kay and 18 Greens Polo Shirts❤❤❤ Thank you to 18green… https://t.co/JSXlwVXv2k
Thu Dec 13 21:54:59 +0000 2018,0,"['campfire', 'resilienceipa']",39.7263,-121.8358,0,"Doing my small part to support the victims of the #campfire 

@sierranevada #resilienceipa @ Chico, California https://t.co/BBBIxboW8d"
Wed Dec 12 20:43:36 +0000 2018,2,[],39.8031,-121.448,0,"Drove up to Pulga yesterday, to check out ground zero of the Camp Fire, 34 days later. Honestly, after near record… https://t.co/WReS06hFXQ"
Wed Dec 12 10:36:06 +0000 2018,0,[],39.7617,-121.609,0,"Please help Rob! He lost everything in the Paradise Fire!
https://t.co/VAJD34C0MM @ Paradise, California https://t.co/Me967R6QvK"
Wed Dec 12 00:55:13 +0000 2018,0,"['campfire', 'rebuild']",39.7263,-121.8358,0,"Current view from my front porch. The fire is over but the work is just beginning. #campfire #rebuild @ Chico, Cali… https://t.co/QizlgUdGdF"
Tue Dec 11 19:40:49 +0000 2018,4,[],39.72997599,-121.85155879,0,"PLS STOP &amp; READ!!
My classmates and I from our Digital Media Literacy Class have started a GoFundMe for victims of… https://t.co/lzGGQZpWCd"
Tue Dec 11 06:21:41 +0000 2018,0,"['photography', 'beautiful', 'campfire', 'photooftheday', 'flyinghorsedesigncom']",39.7617,-121.609,0,"🌲🌲🌲🌲🌲🌲🌲
missing Paradise 
.
.
.
.
.
#photography #beautiful #campfire #photooftheday #flyinghorsedesigncom… https://t.co/FRhOCHwOfo"
Tue Dec 11 06:19:40 +0000 2018,0,"['photography', 'beautiful', 'campfire', 'photooftheday', 'flyinghorsedesigncom']",39.7617,-121.609,0,"🌲🌲🌲🌲🌲
missing Paradise 
.
.
.
.
.
#photography #beautiful #campfire #photooftheday #flyinghorsedesigncom… https://t.co/xg6QBhuojf"
Tue Dec 11 06:18:10 +0000 2018,0,"['photography', 'beautiful', 'campfire', 'photooftheday', 'flyinghorsedesigncom', 'paradiseca']",39.7617,-121.609,0,"🌲🌲🌲
missing Paradise 
.
.
.
.
.
#photography #beautiful #campfire #photooftheday #flyinghorsedesigncom #paradiseca… https://t.co/J0bNJF4rpO"
Tue Dec 11 06:16:57 +0000 2018,0,"['photography', 'beautiful', 'campfire', 'photooftheday', 'flyinghorsedesigncom', 'paradiseca', 'photographer']",39.7617,-121.609,0,"🌲🌲🌲🐱
.
.
.
.
.
#photography #beautiful #campfire #photooftheday #flyinghorsedesigncom #paradiseca #photographer… https://t.co/VTAKT4vAdd"
Tue Dec 11 01:29:15 +0000 2018,4,[],39.759606,-121.621918,2,‘You Made It!’: Video Shows Moment Family Finds Cat Alive — 1 Month after Camp Fire https://t.co/Jty8qniX7D
Mon Dec 10 20:19:35 +0000 2018,10,[],39.759606,-121.621918,3,Paradise Family Finds Cat Alive a Month after Deadly Camp Fire https://t.co/Jty8qniX7D
Mon Dec 10 17:08:01 +0000 2018,0,[],39.72877612,-121.80597963,0,"Back at it again, assisting the folks in Butte County Campfire @ Chico Mall https://t.co/cAKF6ry2ML"
Mon Dec 10 06:17:20 +0000 2018,0,"['CampFire', 'Tribe', 'FriendsandFamily']",39.64,-121.79777778,0,"The #CampFire took so much from our Family. Now, thanks to a large and loving #Tribe of #FriendsandFamily, we have… https://t.co/NPnFIrXcVz"
Sun Dec 09 23:27:22 +0000 2018,3,"['bstrong', 'paradise', 'magalia']",39.8158845,-121.59092607,3,Some scenes from todays @michaelcapponi #bstrong distribution to fire survivors from #paradise &amp; #magalia. The phys… https://t.co/cVJQ7SLD3R
Sun Dec 09 05:44:06 +0000 2018,0,[],39.73851,-122.01145,0,Thank you so much for being my community ❤️ I love MEChA! Somos chillonxs pero chingónxs!!! 💜 @ Hamilton City Fire… https://t.co/Bd98L5bH8f
Sun Dec 09 04:24:14 +0000 2018,0,['getoutside'],39.7617,-121.609,0,"both vehicles were destroyed in CampFire 🔥 ....remember Paradise 
waiting to return to Paradise .
.
.  #getoutside… https://t.co/tLuBnZw9kK"
Sun Dec 09 04:23:16 +0000 2018,0,['getoutside'],39.7617,-121.609,0,"both vehicles were destroyed in CampFire 🔥 ....remember Paradise 
waiting to return to Paradise .
.
.  #getoutside… https://t.co/LbvR3aLPOW"
Sun Dec 09 01:25:00 +0000 2018,0,[],39.7617,-121.609,0,"both vehicles were destroyed in CampFire 🔥 
....remember Paradise 
waiting to return to Paradise 

.
.
.… https://t.co/zity2EaaDq"
Sun Dec 09 00:45:57 +0000 2018,5,['campfire'],39.7617,-121.609,4,Today marks the 1 Month Anniversary of the #campfire tragedy in Paradise California. Tomorrow @michaelcapponi… https://t.co/mO7g382R6K
Sat Dec 08 17:58:05 +0000 2018,0,[],39.72901065,-121.80317491,0,"EDD EMPLOYEES at their best serving the folks in CHICO CA
Campfire Butte County
If you are in need of SOCIAL SECURI… https://t.co/kepXpVIyyJ"
Sat Dec 08 05:36:19 +0000 2018,0,"['beautiful', 'paradiseca', 'love', 'campfire', 'paradise', 'flyinghorsedesigncom']",39.7617,-121.609,0,"remember Paradise 
...link in bio 
.
.
.
.
.
#beautiful #paradiseca #love #campfire #paradise #flyinghorsedesigncom… https://t.co/L3oqhZUg9C"
Sat Dec 08 05:35:06 +0000 2018,0,"['beautiful', 'paradiseca', 'love', 'campfire', 'paradise', 'flyinghorsedesigncom']",39.7617,-121.609,0,"remember Paradise 
...link in bio 
.
.
.
.
.
#beautiful #paradiseca #love #campfire #paradise #flyinghorsedesigncom… https://t.co/YkZ7GZX5yE"
