created_at,favorite_count,hashtags,latitute,longitute,retweet_count,text
Sat Sep 22 16:05:22 +0000 2018,1,['Family'],40.6291942,-122.3734999,0,"Preparing Your #Family for Emergencies
Makes Sense.  Get Ready Now.
DOWNLOAD - Family Emergency Communication Plan… https://t.co/XP8rX3UqoR"
Sat Sep 22 05:40:06 +0000 2018,1,"['CarrFire', 'Debris']",40.6292034,-122.3735424,0,"#CarrFire Water Damage, Winter Rain Storms, Ash and Toxic #Debris Flooding
Redding, California… https://t.co/SqMZAF77Q9"
Fri Sep 21 05:40:07 +0000 2018,1,"['CarrFire', 'Debris']",40.6292034,-122.3735424,0,"#CarrFire Water Damage, Winter Rain Storms, Ash and Toxic #Debris Flooding
Redding, California… https://t.co/CGy8GkWGey"
Thu Sep 20 05:40:09 +0000 2018,1,"['CarrFire', 'Debris']",40.6292034,-122.3735424,0,"#CarrFire Water Damage, Winter Rain Storms, Ash and Toxic #Debris Flooding
Redding, California… https://t.co/oadXRO562G"
Wed Sep 19 16:05:32 +0000 2018,1,['Redding'],40.6291809,-122.3735014,0,"#Redding is Recovering!
SERVPRO North Shasta is here to help you with that process.
Disasters don't plan ahead.  Yo… https://t.co/Jokfbqofbq"
Wed Sep 19 05:40:08 +0000 2018,1,"['CarrFire', 'Debris']",40.6292034,-122.3735424,0,"#CarrFire Water Damage, Winter Rain Storms, Ash and Toxic #Debris Flooding
Redding, California… https://t.co/YFBIRcz7kY"
Tue Sep 18 21:27:30 +0000 2018,2,"['CarrFire', 'Debris']",40.6292034,-122.3735424,0,"#CarrFire Water Damage, Winter Rain Storms, Ash and Toxic #Debris Flooding
Redding, California… https://t.co/iSQCJqXfP7"
Sun Sep 16 16:05:17 +0000 2018,1,['carrfire'],40.6291809,-122.3735014,0,"Shasta County &amp; The City of Redding, California
Carr Fire Disaster Recovery Page
https://t.co/V68ZjQuYL9
#carrfire… https://t.co/zXqaiuHxPh"
Sat Sep 15 20:49:42 +0000 2018,0,"['publicadjuster', 'carrfire', 'firedamage', 'cleanup', 'insuranclaim', 'redding', 'california', 'claimadvocate']",40.5766,-122.37,0,"#publicadjuster #carrfire #firedamage #cleanup #insuranclaim #redding #california #claimadvocate @ Redding, Califor… https://t.co/B8iQIevR8W"
Sat Sep 15 16:05:21 +0000 2018,1,[],40.6291809,-122.3735014,0,"California Wildfires And High Winds (DR-4382)
Disasters don’t plan ahead. You can. Make an emergency plan today &amp; p… https://t.co/TPYZP5MPeE"
