,created_at,favorite_count,hashtags,latitute,longitute,retweet_count,text
0,Wed Jan 30 23:59:00 +0000 2019,0,[],,,0,"RT @ActionNewsNow: The Butte Strong Fund will provide a grant of over $200,000 to the Butte Co. Office of Education to help address child t…"
1,Wed Jan 30 23:55:51 +0000 2019,0,['PGE'],,,0,"RT @mgafni: Talk over #PGE replicating San Diego Gas &amp; Electric's de-energization plan; big diff btw companies policies is:

PG&amp;E refuses t…"
2,Wed Jan 30 23:52:52 +0000 2019,0,[],,,0,Federal judge asks PG&amp;E: Should I 'let you keep killing people?' Rules utility violated its felony probation… https://t.co/ymuTWzsDDd
3,Wed Jan 30 23:51:19 +0000 2019,0,[],,,0,RT @pbartolone: Will it get harder and harder for people to insure their homes in fire-prone areas of California? It has been for this Para…
4,Wed Jan 30 23:50:17 +0000 2019,0,"['CampFire', 'CampFirePets', 'Paradise', 'ParadiseStrong', 'ParadiseFire', 'Magalia', 'Concow', 'Chico']",,,0,"RT @BCWildfireToday: LOOKING FOR A LOST #CampFire PET? 

#CampFirePets #Paradise #ParadiseStrong #ParadiseFire #Magalia #Concow #Chico #Oro…"
5,Wed Jan 30 23:46:41 +0000 2019,0,['CampFire'],,,3,"Affected by the #CampFire disaster? Please join us for 2 Town Hall Meetings Sat. Feb 16,2019: @BaumHedlund &amp;… https://t.co/NhW9OBTdbm"
6,Wed Jan 30 23:46:35 +0000 2019,0,[],,,0,RT @CDInews: Commissioner @ICRicardoLara visited @Paradise_CA yesterday to meet with local officials &amp; witness the devastation of the #Camp…
7,Wed Jan 30 23:46:08 +0000 2019,0,[],,,0,"RT @Lauriefirelily: 💥Consolidated Debris Removal Program
✔All Info needed 👇
Forms, Email, &amp; address
✔The Consolidated Debris Removal Progra…"
8,Wed Jan 30 23:45:28 +0000 2019,0,[],,,1,Will it get harder and harder for people to insure their homes in fire-prone areas of California? It has been for t… https://t.co/KDA56UUvZ0
9,Wed Jan 30 23:45:03 +0000 2019,0,['PG'],,,0,"After bankruptcy, PG&amp;E headed back to court over wildfires - Sentinel Colorado https://t.co/eIDAKEBwOk #PG&amp;E… https://t.co/r42u82jAng"
