created_at,favorite_count,hashtags,latitute,longitute,retweet_count,text
Sun Dec 30 22:02:52 +0000 2018,0,"['campfire', 'paradise']",39.7617,-121.609,0,"Drove through Paradise, CA and saw the devastation first hand with backtotheboz. #campfire #paradise… https://t.co/cWpVKeEFLB"
Sat Dec 29 21:10:06 +0000 2018,1,[],39.7617,-121.609,0,"Found on Neal please help... Call AC 9496808845 @ Paradise, California https://t.co/CNwtwSzYkj"
Sat Dec 29 01:45:37 +0000 2018,1,"['HappyHolidays', 'ParadiseCalifornia']",39.7617,-121.609,0,#HappyHolidays from #ParadiseCalifornia help me make this go viral. Please if its not to our organizations give to… https://t.co/Mko6S2qpx5
Fri Dec 28 19:46:05 +0000 2018,1,[],39.7263,-121.8358,0,"Day 50 post Camp Fire, Gurjian Family Update: We are still living in our camper in the parking lot we now call “Hop… https://t.co/azu2aDg1Uf"
Fri Dec 28 16:09:41 +0000 2018,0,['CampFire'],39.7617,-121.609,0,"#CampFire 360 Drone / See the deadliest fire in CA history in VR on youtube @ Paradise, California https://t.co/dSlhmRAtJO"
Thu Dec 27 17:08:55 +0000 2018,1,"['LTMA', 'LessTalkMoreAction', 'Repost']",39.7617,-121.609,0,"We are here to help. #LTMA #LessTalkMoreAction @burtonspride @whitneycummings @MOCompassion @BJLaflin 

#Repost all… https://t.co/VhD7QG5QG2"
Thu Dec 27 16:24:26 +0000 2018,1,['paradisecalifornia'],39.7617,-121.609,0,Check out my story click on the profile pic https://t.co/NSQVn055Az for the full story. #paradisecalifornia… https://t.co/yCZB02g0bg
Thu Dec 27 02:52:31 +0000 2018,3,['campfire'],39.75979638,-121.84478805,2,Meet Lisa Wagoner and her family. She had reached out to us last week for help so we invited her to our #campfire C… https://t.co/E4kO6oZBmJ
Tue Dec 25 20:20:38 +0000 2018,3,['campfire'],39.7263,-121.8358,2,A single picture is worth a thousand words. Look at this  little angel at our #campfire Christmas Event. Look at he… https://t.co/wBagp3aKuh
Tue Dec 25 15:06:20 +0000 2018,1,['ClimateUprising'],39.7617,-121.609,0,"Christmas in Paradise, CA. Up here working on a #ClimateUprising climateuprising film + movement in response to the… https://t.co/pjy2DkSpQB"
Mon Dec 24 23:07:43 +0000 2018,8,['bstrong'],39.7263,-121.8358,2,Merry Christmas and Happy Holidays to all of you. Our @michaelcapponi #bstrong teams are in Chico California prepar… https://t.co/9IKXAQHQ9S
Mon Dec 24 21:44:21 +0000 2018,0,['longhair'],39.7267987,-121.83741373,0,"Britney hasn’t cut her hair in a long time. I took off a little length, layered and thinned her hair. #longhair… https://t.co/DEDqe51KU1"
Mon Dec 24 21:39:40 +0000 2018,0,[],39.7267987,-121.83741373,0,This past weekend I was back at Satori cutting hair in my old chair. I gave 9 haircuts to survivors of the camp fir… https://t.co/iqvNLFVfs2
Mon Dec 24 15:47:07 +0000 2018,1,['campfirecuts'],39.76014,-121.82396,0,"#campfirecuts Saturday Dec 22nd nscoubes  and I arranged Holiday Haircuts for The Campfire Evacuees in Chico, Ca wh… https://t.co/c19KavK22u"
Sun Dec 23 23:28:56 +0000 2018,4,"['campfireparadise', 'campfire', 'buttestrong', 'sheriff']",39.76052145,-121.80686176,2,I am meeting so many wonderful children in Chico today. #campfireparadise #campfire #buttestrong #sheriff… https://t.co/HPaoow6dPM
Sun Dec 23 22:42:21 +0000 2018,2,[],39.76052145,-121.80686176,0,My buddy Reuben and I are in Chico for a Blue Christmas. This for the families of first responders that lost their… https://t.co/tw2zJ7qhd0
Sun Dec 23 17:46:46 +0000 2018,1,['campfire'],39.7263,-121.8358,0,The Loves lost a lot of belongings in the Paradise #campfire (including their bikes) but they didn't lose each othe… https://t.co/6hCQ3IUVHB
