created_at,favorite_count,hashtags,latitute,longitute,retweet_count,text
Sat Sep 22 23:58:18 +0000 2018,0,['CarrFire'],,,0,"""If someone had to use the bathroom, they had a vulture watching them."" Great story from the #CarrFire by Jessica S… https://t.co/kklSg56udY"
Sat Sep 22 23:30:59 +0000 2018,0,"['Carrfire', 'HirzFire']",,,0,RT @jeremy_tuggle: The smoke is thick from both #Carrfire and #HirzFire today. Here’s a pic of the historic Lorenz Hotel in downtown Reddin…
Sat Sep 22 23:30:45 +0000 2018,0,[],,,0,"RT @jeremy_tuggle: I was quoted in this brand new article from Damon Arthur and  @BreakingNews_RS :

Was the Carr family name destroyed in…"
Sat Sep 22 23:30:38 +0000 2018,0,[],,,0,"RT @BreakingNews_RS: Was the Carr family name destroyed in the fire? All about Shasta County's historical figure, Judge Francis Carr https:…"
Sat Sep 22 23:21:18 +0000 2018,0,"['Carrfire', 'HirzFire']",,,0,RT @jeremy_tuggle: The smoke is thick from both #Carrfire and #HirzFire today. Here’s a pic of the historic Lorenz Hotel in downtown Reddin…
Sat Sep 22 20:45:42 +0000 2018,4,"['Saipan', 'Firefighters', 'CarrFire', 'DeltaFire']",,,0,"Thank you #Saipan #Firefighters!
#CarrFire #DeltaFire
Crew Traveled 8,000 Miles to Fight No. Calif. Fires This Summ… https://t.co/bALJF1yNNY"
Sat Sep 22 19:22:11 +0000 2018,2,[],,,1,"Wildfire tragedy for Redding predicted in 2015, says a lawsuit filed against the city this month:… https://t.co/tmKgUWifY0"
Sat Sep 22 19:20:12 +0000 2018,0,"['EmergencyWishlists', 'DisabilityCrowdFund', 'TransCrowdFund', 'ShowUpForWishes']",,,0,"RT @SJwishlists: #EmergencyWishlists #DisabilityCrowdFund #TransCrowdFund #ShowUpForWishes 

Give or RT! @TransAshlyn lost both her current…"
Sat Sep 22 18:58:17 +0000 2018,0,"['EmergencyWishlists', 'DisabilityCrowdFund', 'TransCrowdFund', 'ShowUpForWishes']",,,0,"RT @SJwishlists: #EmergencyWishlists #DisabilityCrowdFund #TransCrowdFund #ShowUpForWishes 

Give or RT! @TransAshlyn lost both her current…"
Sat Sep 22 18:55:17 +0000 2018,4,"['LakeShasta', 'CarrFire']",,,1,"On the Sacramento Arm of #LakeShasta, where the #CarrFire burned down to the lake. https://t.co/EJuMobAO4m"
Sat Sep 22 18:54:00 +0000 2018,1,"['EmergencyWishlists', 'DisabilityCrowdFund', 'TransCrowdFund', 'ShowUpForWishes']",,,4,"#EmergencyWishlists #DisabilityCrowdFund #TransCrowdFund #ShowUpForWishes 

Give or RT! @TransAshlyn lost both her… https://t.co/uEuxJGlAL8"
Sat Sep 22 18:17:19 +0000 2018,0,[],,,0,"RT @ReddSunFestival: Okay @candlebox fans, it's your turn to cheer, because this band has been ACES! They fully supported our decision to s…"
Sat Sep 22 18:11:15 +0000 2018,0,[],,,0,"RT @ReddSunFestival: Okay @candlebox fans, it's your turn to cheer, because this band has been ACES! They fully supported our decision to s…"
Sat Sep 22 17:00:01 +0000 2018,2,['SalmonFest'],,,0,OROVILLE! Today's your last chance to sign up to win @ReddSunFestival tickets at #SalmonFest... or you could be a d… https://t.co/02WHlXNEdh
Sat Sep 22 16:05:22 +0000 2018,1,['Family'],40.6291942,-122.3734999,0,"Preparing Your #Family for Emergencies
Makes Sense.  Get Ready Now.
DOWNLOAD - Family Emergency Communication Plan… https://t.co/XP8rX3UqoR"
Sat Sep 22 15:49:18 +0000 2018,0,[],,,0,RT @ShastaHHSA: Be sure to check https://t.co/PGulPFM5hf. The county and city are updating it constantly. Here's one helpful doc that was j…
Sat Sep 22 13:52:15 +0000 2018,0,['CarrFire'],,,0,RT @MChandler_RS: Developer's lawsuit seeks to compel the city to prevent another #CarrFire https://t.co/OueWPEBR7p via @BreakingNews_RS
Sat Sep 22 13:40:54 +0000 2018,0,['CarrFire'],,,0,RT @MChandler_RS: Developer's lawsuit seeks to compel the city to prevent another #CarrFire https://t.co/OueWPEBR7p via @BreakingNews_RS
Sat Sep 22 10:31:33 +0000 2018,0,['CarrFire'],,,0,RT @MChandler_RS: Developer's lawsuit seeks to compel the city to prevent another #CarrFire https://t.co/OueWPEBR7p via @BreakingNews_RS
Sat Sep 22 05:52:44 +0000 2018,0,['CarrFire'],,,0,RT @MChandler_RS: Developer's lawsuit seeks to compel the city to prevent another #CarrFire https://t.co/OueWPEBR7p via @BreakingNews_RS
Sat Sep 22 05:41:54 +0000 2018,0,"['CarrFire', 'DeltaFire']",,,0,My Saturday story: How these volunteers are turning #CarrFire and #DeltaFire survivors' houses into homes. https://t.co/XPTOWTrPdn
Sat Sep 22 05:40:06 +0000 2018,1,"['CarrFire', 'Debris']",40.6292034,-122.3735424,0,"#CarrFire Water Damage, Winter Rain Storms, Ash and Toxic #Debris Flooding
Redding, California… https://t.co/SqMZAF77Q9"
Sat Sep 22 03:55:49 +0000 2018,1,['CarrFire'],,,5,Developer's lawsuit seeks to compel the city to prevent another #CarrFire https://t.co/OueWPEBR7p via @BreakingNews_RS
Sat Sep 22 03:46:15 +0000 2018,0,['CarrFire'],,,0,RT @ActiveNorCal: More overhead views of the #CarrFire from July 26th https://t.co/641BDGlwCU
Sat Sep 22 02:39:30 +0000 2018,0,['CarrFire'],,,0,RT @ActiveNorCal: The Singing Samoan Fire Crew working on the #CarrFire in Whiskeytown. Read about them here: https://t.co/AyVrdcMIxl https…
Sat Sep 22 01:45:28 +0000 2018,1,[],,,0,"@ncrainbowgrrl @RedTRaccoon Of course, you are helping! Take care of yourself. I so miss all my Moral Monday family… https://t.co/4dJ3qAqJSj"
Sat Sep 22 01:42:49 +0000 2018,0,['CarrFire'],,,0,RT @MichaelCaranci: West Redding is burning. Fire is moving so fast it’s unbelievable. You can hear the explosions. #CarrFire
Fri Sep 21 23:12:25 +0000 2018,1,['CarrFire'],,,0,"During the #CarrFire, Mercy Medical Center Redding stood tall when our community needed us most. Employees took car… https://t.co/sATtVDoH9R"
Fri Sep 21 23:02:29 +0000 2018,0,"['EmergencyWishlists', 'DisabilityCrowdFund', 'TransCrowdFund', 'ShowUpForWishes']",,,0,"RT @SJwishlists: #EmergencyWishlists #DisabilityCrowdFund #TransCrowdFund #ShowUpForWishes 

RT or give! @TransAshlyn lost both her current…"
Fri Sep 21 21:57:33 +0000 2018,0,[],,,0,"Here's my other Saturday story. This one is about CARR Furnishings, volunteers collecting furniture for those who l… https://t.co/uHWAcqJFvf"
