created_at,favorite_count,hashtags,retweet_count,text
Tue Jul 24 18:49:50 +0000 2018,0,['CarrFire'],0,"RT @CAL_FIRE: #CarrFire [update] off Hwy 299 and Carr Powerhouse Rd, Whiskeytown (Shasta County) is now 3,126 acres and 15% contained. Unif…"
Tue Jul 24 18:49:29 +0000 2018,0,['CarrFire'],0,"RT @FireAviationNPS: The #CarrFire has evacuations &amp; closures in place that are impacting access to Whiskeytown NRA. 

For more information…"
Tue Jul 24 18:49:14 +0000 2018,0,['CarrFire'],0,"RT @CAL_FIRE: #CarrFire [update] off Hwy 299 and Carr Powerhouse Rd, Whiskeytown (Shasta County) is now 3,126 acres and 15% contained. Unif…"
Tue Jul 24 18:49:02 +0000 2018,0,['CarrFire'],0,"RT @CAL_FIRE: #CarrFire [update] off Hwy 299 and Carr Powerhouse Rd, Whiskeytown (Shasta County) is now 3,126 acres and 15% contained. Unif…"
Tue Jul 24 18:47:32 +0000 2018,31,['CarrFire'],25,"#CarrFire [update] off Hwy 299 and Carr Powerhouse Rd, Whiskeytown (Shasta County) is now 3,126 acres and 15% conta… https://t.co/GJHG13LxoR"
Tue Jul 24 18:45:47 +0000 2018,5,['CarrFire'],1,#CarrFire [UPDATE] See attached press release provided by CAL FIRE Shasta Trinity Unit  Shasta High School evacuati… https://t.co/dlYD1khGld
Tue Jul 24 18:43:03 +0000 2018,1,['CarrFire'],0,What it looks like driving up Trinity Mountain Road after the #CarrFire Also just passed some power cables hanging… https://t.co/urrHcS6LYw
Tue Jul 24 18:40:00 +0000 2018,1,['CarrFire'],1,More on the #CarrFire https://t.co/wRu0Ea9Fvi
Tue Jul 24 18:35:22 +0000 2018,0,['CarrFire'],0,RT @KymKemp: #CarrFire closes Hwy 299. Forces evacuations. https://t.co/OzzNUswLeO https://t.co/FHK0RQrvtf
Tue Jul 24 18:33:12 +0000 2018,0,['CarrFire'],0,RT @engineco16: #CarrFire [update] at HWY 299 at Carr Powerhouse Rd in French Gulch (Shasta County) is now 2500 acres and 5% contained. htt…
Tue Jul 24 18:33:02 +0000 2018,0,"['carrfire', 'update']",0,#carrfire #update cal fire has determined mechanics failure of a vehicle is the cause of the fire. That fire is now… https://t.co/YGL3hfkCSU
Tue Jul 24 18:32:56 +0000 2018,0,[],0,RT @WashoeCountyAQ: Smoke from wildfires in CA and OR will continue to affect Northern Nevada with Moderate to Unhealthy for Sensitive Grou…
Tue Jul 24 18:32:38 +0000 2018,0,['MutualAid'],0,RT @Cal_OES: #MutualAid resources are responding to a number of wildfires. Rising temperatures are going to make efforts more difficult to…
Tue Jul 24 18:32:07 +0000 2018,0,['CarrFire'],0,"RT @emmaruthoneill: Fire update: #CarrFire near Redding has grown to 2,500 acres and is 5% contained. Hwy 299 is still closed in both direc…"
