created_at,favorite_count,hashtags,latitute,longitute,retweet_count,text
Fri Sep 01 23:59:59 +0000 2017,0,"['HurricaneHarvey', 'PrayForTexas']",,,0,"RT @realDonaldTrump: 'President Donald J. Trump Proclaims September 3, 2017, as a National Day of Prayer' #HurricaneHarvey #PrayForTexas ht…"
Fri Sep 01 23:59:57 +0000 2017,0,['HurricaneHarvey'],,,0,RT @TexasTribune: NEXT WEEK: Join us on 9/7 for a conversation with 3 Texas Tribune reporters who rode out #HurricaneHarvey. https://t.co/J…
Fri Sep 01 23:59:57 +0000 2017,0,['HurricaneHarvey'],,,0,RT @RyanAFournier: A picture worth a thousand words... #HurricaneHarvey https://t.co/ZM3Yi441FC
Fri Sep 01 23:59:57 +0000 2017,0,"['senior', 'Heroes', 'Empathy', 'Compassion', 'HoustonStrong', 'HurricaneHarvey', 'FridayFeeling']",,,0,"RT @vaughanabuse: People risks their lives 2 save #senior #Heroes=#Empathy+#Compassion 
#HoustonStrong #HurricaneHarvey #FridayFeeling🙏#Vau…"
Fri Sep 01 23:59:56 +0000 2017,0,['HurricaneHarvey'],,,0,RT @SavetheChildren: More than a million children have been impacted by #HurricaneHarvey. Please donate to help provide essential relief: h…
Fri Sep 01 23:59:56 +0000 2017,0,['HurricaneHarvey'],,,0,RT @AllTimeLow: An update regarding our online store donation. #HurricaneHarvey https://t.co/n7ATDaq3wC
Fri Sep 01 23:59:56 +0000 2017,0,"['HurricaneHarvey', 'Looting', 'Localenforcement', 'Community']",,,0,"RT @RT_com: Some Hurricane Harvey looters are getting a BIG SURPRISE!
#HurricaneHarvey #Looting #Localenforcement #Community https://t.co/c…"
Fri Sep 01 23:59:55 +0000 2017,0,"['HurricaneHarvey', 'HarveyStorm', 'maga', 'positiveamerica']",,,0,RT @EjHirschberger: #HurricaneHarvey: Kid Cowboy Rescues Horse From Drowning https://t.co/5ZQJ8Kv1dG #HarveyStorm #maga #positiveamerica by…
Fri Sep 01 23:59:54 +0000 2017,0,"['TheFlash', 'Arrow', 'HurricaneHarvey']",,,0,"RT @OlicityDreams: .@EmilyBett with the cast of  #TheFlash 😍 #Arrow 
Donate to #HurricaneHarvey victims :  https://t.co/4hnFHYZJ7U https://…"
Fri Sep 01 23:59:54 +0000 2017,0,[],,,0,RT @Oprah: Maya always said that God put a 🌈 in every cloud. The 🌈 is seeing our country at its finest. People helping one another. #Hurric…
Fri Sep 01 23:59:54 +0000 2017,0,['HurricaneHarvey'],,,0,RT @RyanAFournier: Service members resting after taking a break from #HurricaneHarvey efforts. God bless our troops! 🇺🇸 https://t.co/HTun1s…
Fri Sep 01 23:59:53 +0000 2017,0,['HurricaneHarvey'],,,0,RT @FLOTUS: I met w @RedCross @SalvationArmyUS &amp; Southern BaptistDisasterRelief to thank them for efforts during #HurricaneHarvey &amp; receive…
Fri Sep 01 23:59:51 +0000 2017,0,['HurricaneHarvey'],,,0,RT @StPiusX: Want to help SPX students and families recover from #HurricaneHarvey? Our Head of School will tell you more at https://t.co/1o…
Fri Sep 01 23:59:48 +0000 2017,0,"['HurricaneHarvey', 'Looting', 'Localenforcement', 'Community']",,,0,"RT @RT_com: Some Hurricane Harvey looters are getting a BIG SURPRISE!
#HurricaneHarvey #Looting #Localenforcement #Community https://t.co/c…"
Fri Sep 01 23:59:47 +0000 2017,0,"['HurricaneHarvey', 'PrayForTexas']",,,0,"RT @realDonaldTrump: 'President Donald J. Trump Proclaims September 3, 2017, as a National Day of Prayer' #HurricaneHarvey #PrayForTexas ht…"
Fri Sep 01 23:59:47 +0000 2017,0,"['HurricaneHarvey', 'PrayForTexas']",,,0,"RT @realDonaldTrump: 'President Donald J. Trump Proclaims September 3, 2017, as a National Day of Prayer' #HurricaneHarvey #PrayForTexas ht…"
Fri Sep 01 23:59:47 +0000 2017,0,['HurricaneHarvey'],,,0,RT @joehahnLP: Help support search and rescue + recovery efforts for #HurricaneHarvey at https://t.co/QJh7XghioC https://t.co/qy8IOp3ZQQ
