index,word_count
https,1046
hurricaneharvey,851
rt,736
carrfire,238
help,212
hurricaneharvey https,163
amp,157
campfire,138
houston,128
texas,115
donate,103
victims,103
update,101
relief,88
acres,86
affect,85
county,82
299,79
shasta,75
carr,75
support,74
thank,72
affect hurricaneharvey,72
whiskeytown,68
rd,68
hwy,68
hurricaneharvey relief,64
hwy 299,62
harvey,61
carrfire update,61
powerhouse,59
carr powerhouse,58
powerhouse rd,56
need,56
hurricaneharvey victims,53
shasta county,51
flood,50
people,47
000,45
gulch,44
french,43
french gulch,43
near,41
donations,40
efforts,40
close,39
evacuation,39
update hwy,39
contain,38
hurricane,38
houstonstrong,37
just,36
shelter,36
calfireshu,36
today,35
look,35
victims hurricaneharvey,33
impact,32
come,32
299 carr,32
evacuate,31
burn,30
500,30
send,30
help hurricaneharvey,30
california,29
smoke,29
redcross,29
water,29
butte,29
team,29
rescue,28
assist,28
safe,28
volunteer,28
family,28
families,28
live,27
make,27
like,27
school,27
campfire https,27
relief efforts,27
work,27
rd whiskeytown,26
sr,26
want,26
remain,26
center,25
rd french,25
paradise,25
time,25
join,24
order,24
pet,24
trump,24
299 amp,24
latest,24
whiskeytown shasta,24
299w,24
calfireshu carrfire,24
carrfire https,24
houston hurricaneharvey,23
home,23
dog,23
prayers,23
pray,22
love,22
acres contain,22
butte county,22
great,22
amp carr,21
check,21
video,20
info,20
donation,20
stay,20
gulch shasta,20
remain close,20
cal_fire,20
think,20
500 acres,19
tx,19
near whiskeytown,19
sr 299w,19
know,19
lake,19
cal,19
high,19
chico,19
day,19
use,19
disaster,19
wildfire,19
000 acres,19
read,19
htt,18
hurricane harvey,18
impact hurricaneharvey,18
highway,18
road,18
good,18
right,18
evacuations,18
victims https,18
money,18
share,18
fund,17
say,17
help https,17
realdonaldtrump,17
10,17
drive,17
open,17
food,17
raise,17
break,16
animals,16
emergency,16
299w remain,16
gt,16
residents,16
way,16
state,16
texasstrong,16
neighbor,16
support hurricaneharvey,16
amaze,16
save,15
350,15
aid,15
realjameswoods,15
100,15
houstonflood,15
hurricaneharvey houstonstrong,15
ways,15
response,15
trinity,15
thoughts,15
carrfire shasta,15
employees,15
leave,15
acres https,15
whiskeytown lake,15
1000,15
let,14
damage,14
carrfire near,14
news,14
closure,14
don,14
retweeted,14
visit,14
recovery,14
follow,14
evacuation order,14
miles,14
million,14
need help,14
miss,14
offer,13
big,13
350 acres,13
storm,13
houstonstrong https,13
ve,13
hurricaneharvey houston,13
rt calfireshu,13
1000 acres,13
national,13
assistance,13
post,13
watch,13
cnn,13
evacuation center,12
firefighters,12
contain https,12
continue,12
donate https,12
county 500,12
bring,12
http,12
community,12
weaverville,12
try,12
start,12
rt realjameswoods,12
area,12
benefit,12
northern,12
provide,12
hurricaneharveyrelief,12
areas,11
harvey hurricaneharvey,11
rt cal_fire,11
hurricaneharvey help,11
product,11
proceed,11
houston https,11
evac,11
potus,11
place,11
grow,11
north,11
harvey https,11
large,11
head,11
hear,11
ways help,11
county 1000,11
hwy299,11
members,11
devastate,10
wildfires,10
collect,10
cross,10
america,10
shirt,10
story,10
aftermath,10
texas hurricaneharvey,10
close carrfire,10
information,10
stay safe,10
texas help,10
donate hurricaneharvey,10
red,10
carrfire burn,10
contact,10
cause,10
beaumont,10
media,10
happen,10
hope,10
northern california,10
maga,10
help affect,10
lot,10
ca,10
prayer,10
prayfortexas,10
church,10
lose,9
want help,9
visit https,9
map,9
west,9
wildfire hwy,9
daily,9
high school,9
truck,9
help victims,9
red cross,9
new,9
sure,9
supply,9
ll,9
stop,9
jjwatt,9
stand,9
donations hurricaneharvey,9
south,9
effect,9
partner,9
gas,9
report,9
really,9
redcross hurricaneharvey,9
hit,9
zone,9
calfire,9
24,9
299 close,9
campfire butte,9
american,9
ask,9
photo,8
highway 299,8
traffic,8
hurricaneirma,8
2017,8
chemical,8
creek,8
god,8
pay,8
city,8
park,8
50,8
view,8
cal_fire carrfire,8
week,8
cafire,8
efforts https,8
wake hurricaneharvey,8
friends,8
mobile,8
tomorrow,8
hurricaneharvey harvey,8
tonight,8
hurricaneharvey flood,8
franklin_graham,8
15,8
hurri,8
weekend,8
hurricaneharvey donate,8
small,8
wake,8
displace,8
heroes,8
fee,8
texans,8
2500,8
country,8
uscg,8
talk,8
help neighbor,8
items,8
president,8
company,8
ppl,8
play,8
issue,8
16,7
sit,7
update evacuation,7
2500 acres,7
evacuations https,7
service,7
kind,7
morning,7
cawx,7
evacuees,7
doesn,7
mountain,7
forget,7
rt franklin_graham,7
buttesheriff,7
1st,7
learn,7
fast,7
fema,7
location,7
36,7
fellow,7
climatechange,7
hurricaneharvey thank,7
insurance,7
east,7
hurricaneharvey texas,7
caltransd2,7
satellite,7
shasta high,7
samaritanspurse,7
hurricaneharvey survivors,7
match,7
escape,7
car,7
elementary,7
trinity mountain,7
air,7
rt celanese,7
reach,7
tell,7
actionnewsnow,7
relief https,7
house,7
hearts,7
path,7
