,longitude,latitude,time_date,tweet,hashtags,follower_count,retweeted_status,retweet_count,weird,strange,weirder
0,-117.564,35.663,2019-07-25 02:50:04,"1.7 magnitude #earthquake. 11 km from #Ridgecrest, #CA, United States https://t.co/DEIBjLh5If","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'Ridgecrest', 'indices': [38, 49]}","{'text': 'CA', 'indices': [51, 54]}",,,,
1,-117.564,35.663,2019-07-25 02:50:04,"1.7 magnitude #earthquake. 7 mi from #Ridgecrest, CA, United States https://t.co/jsCSs8ZlhT","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'Ridgecrest', 'indices': [37, 48]}",,,,,
2,-117.576,35.704,2019-07-25 01:20:04,"2.2 magnitude #earthquake. 12 km from Ridgecrest, #CA, #UnitedStates https://t.co/Jyu11rcKJm","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'CA', 'indices': [50, 53]}","{'text': 'UnitedStates', 'indices': [55, 68]}",,,,
3,-117.576,35.704,2019-07-25 01:20:04,"2.2 magnitude #earthquake. 8 mi from Ridgecrest, CA, #UnitedStates https://t.co/FT3NF7arZU","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'UnitedStates', 'indices': [53, 66]}",,,,,
4,-117.641,35.818,2019-07-25 01:10:04,"2.2 magnitude #earthquake. 22 km from Ridgecrest, #CA, #UnitedStates https://t.co/GpHaQzlLpF","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'CA', 'indices': [50, 53]}","{'text': 'UnitedStates', 'indices': [55, 68]}",,,,
5,-117.641,35.818,2019-07-25 01:10:03,"2.2 magnitude #earthquake. 14 mi from Ridgecrest, CA, #UnitedStates https://t.co/6DLK9wZuvp","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'UnitedStates', 'indices': [54, 67]}",,,,,
6,-117.528,35.664,2019-07-25 00:30:04,"1.9 magnitude #earthquake. 14 km from Ridgecrest, CA, #UnitedStates https://t.co/KEIssWCs4J","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'UnitedStates', 'indices': [54, 67]}",,,,,
7,-117.528,35.664,2019-07-25 00:30:04,"1.9 magnitude #earthquake. 9 mi from Ridgecrest, #CA, United States https://t.co/zKhqSsFgpD","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'CA', 'indices': [49, 52]}",,,,,
8,-117.584,35.643,2019-07-24 23:25:04,"2.5 magnitude #earthquake. 8 km from Ridgecrest, CA, #UnitedStates https://t.co/Bo5C76uInr","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'UnitedStates', 'indices': [53, 66]}",,,,,
9,-117.584,35.643,2019-07-24 23:25:04,"2.5 magnitude #earthquake. 5 mi from Ridgecrest, #CA, United States https://t.co/6jOzhc17bf","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'CA', 'indices': [49, 52]}",,,,,
10,-117.584,35.6428333,2019-07-24 23:24:09,"Ml 2.52 earthquake (automatic) occured at 2019-07-24T23:19:47 UTC, 9km ENE of Ridgecrest, CA https://t.co/Hlfg5aAMiq",,,,,,,
11,-117.5824966,35.640667,2019-07-24 23:23:08,"Ml 2.56 earthquake (automatic) occured at 2019-07-24T23:19:47 UTC, 9km ENE of Ridgecrest, CA https://t.co/Hlfg5aAMiq",,,,,,,
12,-117.585,35.744,2019-07-24 22:55:04,"1.7 magnitude #earthquake. 16 km from #Ridgecrest, #CA, United States https://t.co/92pr65J6uh","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'Ridgecrest', 'indices': [38, 49]}","{'text': 'CA', 'indices': [51, 54]}",,,,
